# TAG, Package Name
P,xorg-server
P,xorg-xinit
P,xorg-fonts-75dpi
P,xorg-fonts-100dpi
P,xorg-xset
P,xf86-video-intel
P,xf86-video-amdgpu
P,xf86-video-ati
P,xorg-xbacklight
P,dunst
P,libnotify
P,alsa-firmware
P,alsa-card-profiles
P,alsa-utils
P,pulseaudio
P,pulsemixer
P,mpc
P,mpd
P,ncmpcpp
P,base-devel
P,git
P,calcurse
P,php
P,figlet
P,xwallpaper
P,xclip
P,xdotool
P,qutebrowser
P,neomutt
P,neofetch
P,offlineimap
P,notmuch
P,newsboat
P,python-pywal
P,python-neovim
P,zsh
P,bash-completion
P,ranger
P,i3-gaps
P,i3blocks
P,calcurse
P,noto-fonts
P,noto-fonts-cjk
P,noto-fonts-extra
P,ttf-joypixels
P,ttf-liberation
P,ttf-hack
P,ttf-terminus-nerd
P,zathura
P,zathura-pdf-mupdf
P,xcompmgr
P,picom
P,man-db
P,less
P,highlight
P,ueberzug
P,sxiv
P,papirus-icon-theme
P,unclutter
P,sox
P,lz4
P,p7zip
P,cryptsetup
P,btfs-progs
P,btrfs
P,ntfs-3g
P,arch-wiki-docs
P,arch-wiki-lite
P,ffmpeg
P,mpv
P,autorandr
P,figlet
P,android-tools
P,heimdall
P,texlive-basic
P,texlive-bin
P,texlive-fontsextra
P,texlive-formatsextra
P,texlive-latex
P,texlive-latexextra
P,texlive-mathscience
A,htop-vim
A,simple-mtpfs
P_ORC,mpd-openrc
P_DINIT,mpd-dinit
P_S6,mpd-s6
P_RUNIT,mpd-runit
